ID,Region,City,Address,MinPricePerSqMeter,AvgPricePerSqMeter,MaxPricePerSqMeter,OffersCount,TotalFloors,YaLowerCorner,YaUpperCorner,WktPoint,Lat,Lon,OnDate,Source
142848,"Московская область","Реутов","Московская область, Реутов, улица Кирова, 9",153000,153000,155000,3,25,"37.8472 55.755495","37.85541 55.760125","POINT(37.851305 55.75781)","55.75781","37.851305","2016-10-01 00:00:00","myData.biz"
142849,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 52",122000,122000,122000,1,14,"37.871005 55.748037","37.879216 55.752668","POINT(37.87511 55.750352)","55.750352","37.87511","2016-09-01 00:00:00","myData.biz"
142850,"Московская область","Реутов","Московская область, Реутов, улица Котовского, 9",105000,110000,115000,2,9,"37.865211 55.747236","37.873422 55.751867","POINT(37.869316 55.749552)","55.749552","37.869316","2016-09-01 00:00:00","myData.biz"
142851,"Московская область","Реутов","Московская область, Реутов, улица Победы, 2к1",131000,131000,131000,1,17,"37.85638 55.75941","37.864591 55.76404","POINT(37.860486 55.761725)","55.761725","37.860486","2016-09-01 00:00:00","myData.biz"
142852,"Московская область","Реутов","Московская область, Реутов, улица Реутовских Ополченцев, 6",86000,87000,88000,3,24,"37.842313 55.770401","37.850523 55.775029","POINT(37.846418 55.772715)","55.772715","37.846418","2016-10-01 00:00:00","myData.biz"
142853,"Московская область","Реутов","Московская область, Реутов, Лесная улица, 5",142000,142000,142000,1,12,"37.84914 55.757637","37.857351 55.762267","POINT(37.853245 55.759952)","55.759952","37.853245","2016-09-01 00:00:00","myData.biz"
142854,"Московская область","Реутов","Московская область, Реутов, Советская улица, 6",100000,112000,125000,2,5,"37.8517 55.763275","37.859911 55.767904","POINT(37.855806 55.76559)","55.76559","37.855806","2016-10-01 00:00:00","myData.biz"
142855,"Московская область","Реутов","Московская область, Реутов, Южная улица, 9",132000,132000,132000,1,14,"37.858662 55.746015","37.866873 55.750646","POINT(37.862768 55.748331)","55.748331","37.862768","2016-09-01 00:00:00","myData.biz"
142856,"Московская область","Реутов","Московская область, Реутов, Лесная улица, 10",124000,124000,124000,1,9,"37.846032 55.758458","37.854243 55.763088","POINT(37.850137 55.760773)","55.760773","37.850137","2016-09-01 00:00:00","myData.biz"
142857,"Московская область","Реутов","Московская область, Реутов, улица Котовского, 12",128000,128000,128000,1,12,"37.862884 55.744389","37.871095 55.74902","POINT(37.86699 55.746704)","55.746704","37.86699","2016-09-01 00:00:00","myData.biz"
142858,"Московская область","Реутов","Московская область, Реутов, улица Гагарина, 15",98000,98000,98000,1,4,"37.856192 55.762085","37.864402 55.766714","POINT(37.860297 55.764399)","55.764399","37.860297","2016-09-01 00:00:00","myData.biz"
142859,"Московская область","Реутов","Московская область, Реутов, Южная улица, 19",123000,123000,123000,1,12,"37.860324 55.743857","37.868535 55.748488","POINT(37.864429 55.746172)","55.746172","37.864429","2016-09-01 00:00:00","myData.biz"
142860,"Московская область","Реутов","Московская область, Реутов, улица Октября, 8",121000,121000,121000,1,9,"37.852617 55.748083","37.860827 55.752713","POINT(37.856722 55.750398)","55.750398","37.856722","2016-09-01 00:00:00","myData.biz"
164135,"Московская область","Реутов","Московская область, Реутов, улица Победы, 15к1",152000,152000,152000,1,25,"37.850074 55.759917","37.858285 55.764546","POINT(37.85418 55.762232)","55.762232","37.85418","2016-10-01 00:00:00","myData.biz"
166954,"Московская область","Реутов","Московская область, Реутов, улица Калинина, 3",108000,108000,108000,1,5,"37.851601 55.750996","37.859812 55.755626","POINT(37.855707 55.753311)","55.753311","37.855707","2016-11-01 00:00:00","myData.biz"
166955,"Московская область","Реутов","Московская область, Реутов, проспект Мира, 17",99000,99000,99000,1,5,"37.858078 55.759957","37.866289 55.764587","POINT(37.862184 55.762272)","55.762272","37.862184","2016-11-01 00:00:00","myData.biz"
166956,"Московская область","Реутов","Московская область, Реутов, Советская улица, 30",96000,96000,96000,1,5,"37.858869 55.76484","37.867079 55.769469","POINT(37.862974 55.767154)","55.767154","37.862974","2016-11-01 00:00:00","myData.biz"
161493,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 2",120000,120000,120000,1,16,"37.849778 55.743613","37.857988 55.748245","POINT(37.853883 55.745929)","55.745929","37.853883","2016-10-01 00:00:00","myData.biz"
167383,"Московская область","Реутов","Московская область, Реутов, Парковая улица, 8",134000,134000,134000,1,24,"37.860908 55.758387","37.869119 55.763017","POINT(37.865013 55.760702)","55.760702","37.865013","2016-11-01 00:00:00","myData.biz"
142861,"Московская область","Реутов","Московская область, Реутов, Советская улица, 15",101000,108000,115000,2,5,"37.853479 55.766344","37.86169 55.770973","POINT(37.857584 55.768659)","55.768659","37.857584","2016-10-01 00:00:00","myData.biz"
142862,"Московская область","Реутов","Московская область, Реутов, Комсомольская улица, 32",109000,109000,109000,1,9,"37.845286 55.757592","37.853497 55.762221","POINT(37.849392 55.759907)","55.759907","37.849392","2016-09-01 00:00:00","myData.biz"
142863,"Московская область","Реутов","Московская область, Реутов, улица Котовского, 7",132000,132000,132000,1,10,"37.863414 55.746583","37.871625 55.751214","POINT(37.86752 55.748898)","55.748898","37.86752","2016-09-01 00:00:00","myData.biz"
142864,"Московская область","Реутов","Московская область, Реутов, улица Войтовича, 6",109000,109000,109000,1,5,"37.851179 55.754208","37.85939 55.758838","POINT(37.855285 55.756523)","55.756523","37.855285","2016-09-01 00:00:00","myData.biz"
142865,"Московская область","Реутов","Московская область, Реутов, улица Ленина, 8",102000,102000,102000,1,4,"37.853677 55.753833","37.861887 55.758463","POINT(37.857782 55.756148)","55.756148","37.857782","2016-09-01 00:00:00","myData.biz"
142866,"Московская область","Реутов","Московская область, Реутов, проспект Мира, 29",91000,91000,91000,1,5,"37.857216 55.763548","37.865427 55.768177","POINT(37.861321 55.765863)","55.765863","37.861321","2016-09-01 00:00:00","myData.biz"
142867,"Московская область","Реутов","Московская область, Реутов, улица Ленина, 2",119000,119000,119000,2,9,"37.856138 55.751812","37.864349 55.756442","POINT(37.860243 55.754127)","55.754127","37.860243","2016-10-01 00:00:00","myData.biz"
