id,object_name,address
25654,Шоколадница,"город Москва, Большая Никитская улица, дом 24/1, строение 1"
24159,Кафе «Лавка и кафе студии Лебедева»,"город Москва, Большая Никитская улица, дом 35"
148305,КОТИКИЛЮДИ,"город Москва, улица Гиляровского, дом 17"
21745,Шантимель,"город Москва, улица Гиляровского, дом 60, строение 1"
27658,При школе 1294,"город Москва, Глебовская улица, дом 10"
76582,ХачапуриТверскя,"город Москва, Большой Гнездниковский переулок, дом 10"
71810,Get Lucky,"город Москва, Малый Гнездниковский переулок, дом 9, строение 7"
120427,Craft RePUBlic,"город Москва, Малый Гнездниковский переулок, дом 9, строение 7"
25111,МУ-МУ,"город Москва, Малый Гнездниковский переулок, дом 9, строение 7"
27280,Баба Марта,"город Москва, Гоголевский бульвар, дом 8"
128456,Хинкальная,"город Москва, Гоголевский бульвар, дом 23"
140347,Чемодан,"город Москва, Гоголевский бульвар, дом 25, строение 1"
101981,Кулинарная Лавка Братьев Караваевых Братья Караваевы,"город Москва, Гоголевский бульвар, дом 33/1"
24529,Ресторан «Монте Кристо»,"город Москва, улица Маршала Голованова, дом 19"
104191,Суши Вок,"город Москва, Городецкая улица, дом 3"
22596,ГИН-НО-ТАКИ,"город Москва, Тверская улица, дом 6, строение 1"
133843,Голову с плеч,"город Москва, Тверская улица, дом 12, строение 1"
120430,Хлеб и Вино,"город Москва, Тверская улица, дом 12, строение 2"
22605,Бирхаус,"город Москва, Тверская улица, дом 12, строение 7"
141533,С утра,"город Москва, Тверская улица, дом 12, строение 8"
129210,Вареничная № 1,"город Москва, Тверская улица, дом 14"
142195,Howards Loves Craft,"город Москва, Тверская улица, дом 15"
157127,LUNCHROOM,"город Москва, Тверская улица, дом 15"
82732,Прайм,"город Москва, Тверская улица, дом 15"
60405,Пицца Экспресс,"город Москва, Тверская улица, дом 17"
69468,АРМЕНИЯ,"город Москва, Тверская улица, дом 17"
25141,Шоколадница Кофе Хаус,"город Москва, Тверская улица, дом 17"
25847,Найт флайт,"город Москва, Тверская улица, дом 17"
59356,Шоколадница,"город Москва, Тверская улица, дом 19"
127915,Прайм,"город Москва, Тверская улица, дом 19А"
69457,Dry and wet Bar,"город Москва, Тверская улица, дом 27, строение 1"
25742,БИСТРО,"город Москва, Тверская улица, дом 27, строение 1"
157901,АВ-Дейли,"город Москва, Тверская улица, дом 27, строение 2"
71571,Шоколадница,"город Москва, Тверская улица, дом 27, строение 2"
68446,Николай,"город Москва, Тверская улица, дом 30/2, строение 1"
79486,Время есть,"город Москва, Тверская улица, дом 30/2, строение 1"
98253,Кофе Таймс,"город Москва, 1-я Тверская-Ямская улица, дом 4"
58463,Якитория,"город Москва, 1-я Тверская-Ямская улица, дом 7"
106504,Чайхона №1,"город Москва, 1-я Тверская-Ямская улица, дом 7"
127913,Фудзи-Ко,"город Москва, 1-я Тверская-Ямская улица, дом 7"
157659,МАГНОЛИЯ,"город Москва, 1-я Тверская-Ямская улица, дом 9"
127916,Прайм,"город Москва, 1-я Тверская-Ямская улица, дом 8"
129109,Тирольские пироги,"город Москва, 1-я Тверская-Ямская улица, дом 11"
144091,КОФЕ С СОБОЙ,"город Москва, 1-я Тверская-Ямская улица, дом 13, строение 1"
124578,Джаганнат,"город Москва, 1-я Тверская-Ямская улица, дом 13, строение 1"
157978,АЛЁНКА,"город Москва, 1-я Тверская-Ямская улица, дом 12"
23384,ART PUB,"город Москва, улица Госпитальный Вал, дом 22/2"
25124,Шоколадница,"город Москва, улица Чаянова, дом 12"
22943,Шёлковый путь,"город Москва, Кутузовский проспект, дом 71"
82807,Ресторан «Молон лаве»,"город Москва, Большая Грузинская улица, дом 39"
88212,Ресторан «Сайгон»,"город Москва, Большая Грузинская улица, дом 39"
24240,Шоколадница,"город Москва, улица Грузинский Вал, дом 26, строение 1"
154373,Фаршбургер,"город Москва, улица Грузинский Вал, дом 26, строение 1"
149906,Ресторан «Бургер Кинг»,"город Москва, улица Грузинский Вал, дом 28/45"
24242,KFC,"город Москва, улица Грузинский Вал, дом 28/45"
21932,Кофе Хаус,"город Москва, Грузинский переулок, дом 4"
24215,Кафе «Чайхана Айва»,"город Москва, Грузинский переулок, дом 14"
124334,"Выпечка, кофейня","город Москва, Гурьевский проезд, дом 25, корпус 1"
155085,Пицца Помодоро,"город Москва, Гурьевский проезд, дом 31, корпус 1"
150446,Мохнатый шмель,"город Москва, Даев переулок, дом 2"
153023,Кафе «Свежая выпечка»,"город Москва, улица 26-ти Бакинских Комиссаров, дом 7, корпус 6"
27591,СТОЛОВАЯ ШКОЛЫ 1254,"город Москва, улица Девятая Рота, дом 14"
29535,СТОЛОВАЯ-ДОГОТОВОЧНАЯ ПРИ ЛИЦЕЕ «РАЗУМ»,"город Москва, проезд Дежнёва, дом 11, корпус 1"
70535,Бильярдный клуб «Лига»,"город Москва, улица Мусы Джалиля, дом 4, корпус 6"
24129,Дефакто,"город Москва, улица Большая Лубянка, дом 26/17, строение 1"
68338,Волконский,"город Москва, улица Большая Якиманка, дом 19"
111819,MosKalyan,"город Москва, улица Большая Якиманка, дом 32"
22640,Шоколадница,"город Москва, улица Большая Якиманка, дом 32"
152060,French kiss,"город Москва, улица Большая Якиманка, дом 32"
26528,Панчо Вилья,"город Москва, улица Большая Якиманка, дом 52"
69382,Харбин,"город Москва, улица Большая Якиманка, дом 54"
156766,Хлеб насущный,"город Москва, улица Большая Якиманка, дом 56"
22635,Шоколадница,"город Москва, улица Большая Якиманка, дом 58/2"
26100,Гино-но-таки,"город Москва, улица Большая Якиманка, дом 58/2"
28683,СТОЛ. ШК. 218,"город Москва, Дмитровское шоссе, дом 5, корпус 1"
21798,Кофе Хаус,"город Москва, Дмитровское шоссе, дом 15, корпус 1"
28573,СТОЛ.ШК.885,"город Москва, Дмитровское шоссе, дом 45, корпус 1"
25217,Сундук,"город Москва, Дмитровское шоссе, дом 46, корпус 1"
81174,Столовая №1 РГАУ-МСХА им. К.А. Тимирязева,"город Москва, Дмитровское шоссе, дом 47"
20488,ДЕЙЛИН,"город Москва, Дмитровское шоссе, дом 48, корпус 1"
79550,Тануки,"город Москва, Дмитровское шоссе, дом 64, корпус 3"
26131,Макдоналдс,"город Москва, Дмитровское шоссе, дом 89, корпус 4"
29487,СТОЛ.ШК.244 КШП«ЛОГАРИФМ»,"город Москва, Дмитровское шоссе, дом 95, корпус 1"
151890,Донеретт,"город Москва, Днепропетровская улица, дом 3, корпус 1"
26091,Тратория Semplice,"город Москва, улица Коровий Вал, дом 7, строение 1"
144558,Домино'с Пицца,"город Москва, улица Доватора, дом 11, корпус 1"
24323,Кафе на Доватора,"город Москва, улица Доватора, дом 13"
144423,ГБОУ Школа № 1499,"город Москва, улица Докукина, дом 5, корпус 1"
21268,ЦЕНТР СОЦИАЛЬНОГО ОБЕСПЕЧЕНИЯ,"город Москва, Домодедовская улица, дом 24, корпус 4"
23996,БААН ТАЙ,"город Москва, Большая Дорогомиловская улица, дом 11"
21089,Джастфою,"город Москва, Дубнинская улица, дом 4, корпус 1"
155298,Домино'с Пицца,"город Москва, Дубнинская улица, дом 10, корпус 1"
72728,KFC,"город Москва, Дубнинская улица, дом 30, корпус 1"
20524,Юнона,"город Москва, Дубосековская улица, дом 7"
20918,ГП КП МГАИ,"город Москва, Дубосековская улица, дом 9"
20919,ГП КП МГАИ,"город Москва, Дубосековская улица, дом 13"
24829,Марани,"город Москва, 1-я Дубровская улица, дом 6"
25772,Пицца Фабрика,"город Москва, 1-я Дубровская улица, дом 13"
135977,Суши Wok,"город Москва, улица Дудинка, дом 1"
138023,Столовая при школе № 2107,"город Москва, улица Дурова, дом 3/13"
130124,Кафе,"город Москва, улица Дыбенко, дом 44"
22939,Шоколадница,"город Москва, Енисейская улица, дом 11"
22938,КАФЕ-БАР «ЛЯ-НИКОЛЯ»,"город Москва, Енисейская улица, дом 19"
68203,Ньокки,"город Москва, улица Генерала Ермолова, дом 4"
26802,САХЛИ,"город Москва, Большой Каретный переулок, дом 6"
25330,Хижина,"город Москва, улица Жебрунова, дом 4"
127006,"Шаурма, выпечка","город Москва, бульвар Матроса Железняка, дом 7/20"
28847,СТОЛОВАЯ СПЕЦШКОЛА 9,"город Москва, улица Бориса Жигулёнкова, дом 15"
22076,Булошная,"город Москва, Житная улица, дом 10"
151309,Додо Пицца,"город Москва, проспект Маршала Жукова, дом 17"
136523,Виват Пицца,"город Москва, проспект Маршала Жукова, дом 19, корпус 1"
74713,Суши-Порт,"город Москва, проспект Маршала Жукова, дом 35, корпус 1"
22376,Тратория,"город Москва, улица Жуковского, дом 5"
21901,КАФЕТЕРИЙ,"город Москва, Заревый проезд, дом 12"
25493,Кафе-пиццерия,"город Москва, Заревый проезд, дом 12"
